id,title,dis,com,htype,rty,fit,flo,sumflo,pri,lab
64,香梅人家 ,新吴区,梅村,2室1厅,整租,精装修,12,30层,2000,香梅人家两房出租，家具齐全，两室朝南，随时可以看房
65,蠡湖一号 ,滨湖区,蠡湖新城,3室2厅,整租,精装修,7,30层,3500,真实房《蠡湖一号 精装三房  湖景房  装修清爽 拎包即住
66,绿地世纪城四期(209-213) ,惠山区,惠山新城,2室2厅,整租,中等装修,4,11层,1700,房东急租 绿地世纪城2房出租，看房随时 拎包即住，家电齐全！
67,摩天360 ,梁溪区,崇安寺,3室2厅,整租,精装修,26,48层,6000,三阳广场摩天360房东自住全新精装 苏宁购物触手可及 近地铁
68,五河新村 ,梁溪区,黄巷,2室1厅,整租,毛坯,1,6层,1300,太湖中医院东方 五河新村 俩房整租 精装修 出行便利拎包入住
69,前进花园 ,新吴区,长江路,2室2厅,整租,精装修,3,6层,1600,前进花园 精装2房 家电齐全 南北通透 采光无敌
70,瑜憬湾 ,滨湖区,河埒口,3室2厅,整租,精装修,18,18层,3000,瑜憬湾  房东自住装修 电梯房  包物业  地铁口 梁溪河边
71,水岸佳苑C区 ,锡山区,安镇,3室2厅,整租,中等装修,7,16层,1400,水岸佳苑，中装三房，毗邻天一中学，交通便利，配套完善
72,爱家金河湾 ,梁溪区,广丰,2室1厅,整租,精装修,14,30层,2300,新出爱家金河湾精装两室家电家具齐全交通生活便利看房方便拎包入
73,长江大厦 ,新吴区,旺庄,1室1厅,整租,毛坯,10,22层,1800,一室一厅，精装一小房，南北通透
74,富力十号 ,滨湖区,太湖新城,3室2厅,整租,精装修,7,8层,3000,富力 精装3房 自带地暖统装 交通方便 环境好 拎包入住
75,瑞雪家园 ,滨湖区,太湖新城,2室1厅,整租,精装修,25,28层,1300,瑞雪家园精装两房家电齐全出行停车方便拎包入住
76,泰康新村(101-124) ,滨湖区,河埒口,1室1厅,整租,精装修,5,11层,800,泰康新村 新出一室一厅  家具家电齐全  随时看房
77,周新苑(五期) ,滨湖区,太湖新城,2室2厅,整租,精装修,11,18层,1300,周新苑 家具家电齐全 南北通透两房 购物出行方便 近海岸城
78,万科信成道二期 ,滨湖区,太湖新城,3室2厅,整租,精装修,8,22层,3200,信成道精装大三房 首茨出租 近金桥小学 安静舒适 陪读守选
79,太湖国际社区香缇美郡 ,滨湖区,太湖新城,2室2厅,整租,精装修,16,19层,2800,太湖国际 精装两房 南北通透 交通便利 近万象城 拎包入住
80,东方瑞景苑 ,梁溪区,广丰,3室2厅,整租,精装修,6,12层,2500,火车站旁东方瑞景苑精装三房 家电齐全 交通方便 温馨舒适
81,尚锦城B区 ,滨湖区,太湖新城,2室2厅,整租,精装修,21,30层,2200,尚锦城温馨两房，设施齐全，户型通透，近外国语锡师附小 D铁口
82,阳光城市花园C区 ,梁溪区,金星,3室2厅,整租,毛坯,6,18层,3500,建筑路阳光城市花园溪南里旁精装三房家电齐全拎包入住看房随时
83,广益博苑东区 ,梁溪区,广益,2室1厅,整租,精装修,15,28层,2300,新出广益博苑精装两室装修精美温馨舒适看房方便拎包入住
84,万科东郡 ,新吴区,长江路,3室2厅,整租,豪华装修,21,30层,5000,万科东郡全新装修，房东搬到其他地方了，所以把婚房出租。
85,奕淳公寓(二期) ,新吴区,长江路,2室2厅,整租,精装修,18,32层,2050,百安居旁长江绿岛精装两房 靠近地铁口 家具家电齐全 看房随时
86,隆亭新苑 ,锡山区,东亭,2室2厅,整租,精装修,13,18层,1600,义诚好房地铁口 隆亭新苑精装修房东诚心出租拎包入住
87,怡东雅苑 ,锡山区,安镇,2室2厅,整租,精装修,3,6层,2100,大润发旁 中隆广场怡东雅苑 房东精装修 性价比超高 刚出房源
88,金太湖国际城 ,梁溪区,北大街,2室1厅,整租,精装修,16,32层,2100,欧风街2房朝南通透方正户型，拎包入住，市中心地段生活便利
89,魅力万科城酩悦 ,滨湖区,太湖新城,3室2厅,整租,精装修,18,18层,4200,万科酩悦  城花三区  景观房  采光五无遮挡  精装包物业
90,融科玖玖城 ,滨湖区,太湖新城,2室2厅,整租,精装修,8,18层,2500,《U房置业实拍》融科精装两房！地铁口！文化宫！近海岸城！
91,新街家园 ,梁溪区,黄巷,2室1厅,整租,精装修,21,29层,1500,《U房置业实拍》新街家园 精装两房 配套齐全 拎包入住
92,绿地世纪城四期(209-213) ,惠山区,惠山新城,2室2厅,整租,中等装修,9,11层,1900,绿地世纪城 精装修 地铁一号线 配套齐全 地段繁华
93,天鹅湖花园B区 ,滨湖区,太湖新城,1室1厅,整租,精装修,9,32层,1200,《U房置业实拍》融创熙园精装一房，临近地铁口家电齐全拎包入住
94,魅力万科城酩悦 ,滨湖区,太湖新城,2室2厅,整租,精装修,19,28层,2900,《房置业实拍》魅力万科酩悦！精装两房！育红学校！不靠路
95,周新苑(五期) ,滨湖区,太湖新城,2室1厅,整租,精装修,7,20层,1600,整租  周新苑精装2房 南北通透 交通便利 采光好 拎包入
96,富安华庭 ,滨湖区,河埒口,2室2厅,整租,精装修,18,28层,2800,富安华庭，河埒口地铁站旁，近万达商场，吃喝玩乐为一体，精装修
97,朗诗未来之家A区 ,梁溪区,金星,1室1厅,整租,精装修,12,34层,3500,朗诗未来之家A区53单元高端单身公寓拎包入住随时看房
98,海岸城馨园 ,滨湖区,太湖新城,2室1厅,整租,精装修,15,33层,2500,整租！海岸城精装两房 初次出租 家具家电齐全交通便利 拎包住
99,城西花园 ,梁溪区,山北,3室2厅,整租,精装修,15,18层,3200,U房置业实拍 白金汉爵旁 城西花园 精装三房出租
100,天鹅湖熙园二期 ,滨湖区,太湖新城,2室2厅,整租,精装修,12,32层,2500,融创熙园港式装修 南北通透 品质小区拎包入住近江大 华莱坞
101,龙湖星悦荟 ,滨湖区,太湖新城,1室1厅,合租,精装修,8,16层,1400,龙湖星悦荟 楼下商业综合体 交通便利 闹中取静 看房电话联系
102,融科玖玖城 ,滨湖区,太湖新城,2室2厅,整租,豪华装修,13,18层,2400,文化宫地铁口 融科两室豪装 温馨好房 金桥小学旁 价格超低
103,五洲国际银河城 ,梁溪区,广益,1室1厅,整租,精装修,12,32层,1800,五洲精装公主房 温馨出租 采光好户型佳 随时看房 拎包入住
104,瑞城花园南区 ,新吴区,江溪,2室2厅,整租,精装修,5,24层,1700,新区长江北路附近瑞城国际附近精装两房买房买房找小
105,五河新村 ,梁溪区,黄巷,2室1厅,整租,精装修,2,6层,1200,欧风街沿线，凤翔高架。家乐福旁，清爽装修，拎包入住
106,美湖家园 ,滨湖区,蠡湖新城,2室1厅,整租,精装修,7,15层,1600,美湖家园 精装两房 南北通透 电梯房
107,宝龙国际公寓 ,新吴区,长江路,1室1厅,整租,精装修,6,22层,2500,宝龙公寓，一室一厅，设施齐全。
108,沁园新村 ,梁溪区,清名桥,1室1厅,整租,精装修,4,6层,1150,整租丨房东全新精装 家具家电齐全 租价低 采光通透 速抢！！
109,第一国际一期 ,新吴区,江溪,2室2厅,整租,精装修,24,38层,1900,新之城对面第壹国际新出两房 装修保养特别好 包物业包宽带
110,恒盛第一国际花园 ,新吴区,江溪,3室2厅,整租,精装修,20,33层,2800,第壹国际新出自住装修大三房，配套设施新，配有儿童床，温馨舒适
111,新世纪花园北区 ,梁溪区,南禅寺,4室2厅,整租,精装修,15,15层,5200,新世纪花园，精装四房，靠近清扬路家乐福，设施齐全
112,雪溪苑A区 ,滨湖区,太湖新城,2室2厅,整租,精装修,13,31层,1300,雪溪苑a区精装两房 全新装修 干净清爽 家具家电齐全 近影城
113,太湖国际社区聆湖 ,滨湖区,太湖新城,3室2厅,整租,精装修,9,18层,3200,《U房置业实拍》中央空调带地暖！地铁万象城！万科一区太湖国际
114,太湖花园二区 ,新吴区,长江路,3室2厅,整租,精装修,3,7层,1800,新区太湖花园二期 精装三房 初次出租 家电齐  急租
115,长欣公寓 ,新吴区,长江路,2室2厅,整租,精装修,5,6层,1500,长欣公寓 2室2厅 环境优美 交通便利 家电都有，拎包住
116,长江国际泓园 ,新吴区,长江路,3室2厅,整租,豪华装修,8,32层,5600,长江国际泓园，婚房装修，品牌家私，拎包即住，房东急租
117,新城尚东雅园 ,新吴区,旺庄,3室2厅,整租,精装修,11,32层,4500,新城尚东雅园，环境优美，商场超市银行等基础设施齐全。
118,景鸿苑 ,滨湖区,河埒口,2室1厅,整租,精装修,4,6层,1700,隐秀苑奥林花园家乐福对面 景鸿苑精装两房 家电齐全 随时看房
119,春潮花园三区东区 ,新吴区,江溪,2室1厅,整租,中等装修,2,5层,1500,春潮花园精装两房可以做饭！设施齐全！拎包入住，精装配
120,恒盛第一国际花园 ,新吴区,江溪,3室2厅,整租,精装修,20,33层,2800,第壹国际新出自住装修大三房，配套设施新，配有儿童床，温馨舒适
121,新世纪花园北区 ,梁溪区,南禅寺,4室2厅,整租,精装修,15,15层,5200,新世纪花园，精装四房，靠近清扬路家乐福，设施齐全
122,雪溪苑A区 ,滨湖区,太湖新城,2室2厅,整租,精装修,13,31层,1300,雪溪苑a区精装两房 全新装修 干净清爽 家具家电齐全 近影城
123,太湖国际社区聆湖 ,滨湖区,太湖新城,3室2厅,整租,精装修,9,18层,3200,《U房置业实拍》中央空调带地暖！地铁万象城！万科一区太湖国际
124,太湖花园二区 ,新吴区,长江路,3室2厅,整租,精装修,3,7层,1800,新区太湖花园二期 精装三房 初次出租 家电齐  急租
125,长欣公寓 ,新吴区,长江路,2室2厅,整租,精装修,5,6层,1500,长欣公寓 2室2厅 环境优美 交通便利 家电都有，拎包住
126,长江国际泓园 ,新吴区,长江路,3室2厅,整租,豪华装修,8,32层,5600,长江国际泓园，婚房装修，品牌家私，拎包即住，房东急租
127,新城尚东雅园 ,新吴区,旺庄,3室2厅,整租,精装修,11,32层,4500,新城尚东雅园，环境优美，商场超市银行等基础设施齐全。
128,景鸿苑 ,滨湖区,河埒口,2室1厅,整租,精装修,4,6层,1700,隐秀苑奥林花园家乐福对面 景鸿苑精装两房 家电齐全 随时看房
129,春潮花园三区东区 ,新吴区,江溪,2室1厅,整租,中等装修,2,5层,1500,春潮花园精装两房可以做饭！设施齐全！拎包入住，精装配
130,尚锦城A区 ,滨湖区,太湖新城,2室1厅,整租,精装修,10,28层,1900,锡师附小 地铁 海岸城旁尚景城 自住精装两房 干净清爽 急租
131,长江大厦 ,新吴区,旺庄,2室2厅,整租,精装修,15,32层,2000,长江大厦 长江路沿线永辉超市对面 家电齐全 拎包入住
132,苏豪国际大厦 ,滨湖区,河埒口,2室2厅,整租,精装修,16,23层,3000,《有家肥仔》9.4发苏豪国际16楼二房精装全配3000
133,太湖国际社区聆湖 ,滨湖区,太湖新城,3室2厅,整租,豪华装修,15,31层,3200,太湖国际豪装欧式大三房 近万象城 大剧院 地铁口 看房随时
134,理想城市花园 ,惠山区,惠山新城,2室2厅,整租,中等装修,3,24层,2100,理想城市 临轻轨 菜场 家具家电齐全 拎包即住 环境物业很棒
135,南洋花园 ,梁溪区,南禅寺,2室1厅,整租,精装修,3,7层,2700,南洋花园精装两室一厅2700
136,国信世家璞园 ,新吴区,江溪,2室2厅,整租,精装修,18,30层,2300,国信世家璞园精装温馨两居室超干净整洁，房东急租，值得看一眼的
137,无锡孔雀城 ,梁溪区,扬名,1室0厅,合租,精装修,31,34层,850,孔雀城，电梯房，带独立卫生间，精装，高档小区，安全性高
138,香榭花园北区 ,梁溪区,北大街,3室2厅,整租,精装修,2,8层,2600,香榭街华谊兄弟金马国际花园旁香榭花园精装电梯3房家电齐全
139,泰伯花苑五区 ,新吴区,梅村,2室1厅,整租,精装修,7,11层,2100,泰伯五期周边设施齐全，小区环境有益，拎包入住，房东人很好诚心
140,绿地波士顿公馆 ,惠山区,惠山新城,1室1厅,整租,精装修,6,27层,2000,绿地精装楼房出租 户型好 装修好 采光无遮挡 省锡中 地铁口
141,荣巷新村 ,滨湖区,河埒口,2室1厅,合租,简单装修,1,7层,1550,荣巷新村 简单装修两房 买菜方便 房东诚意出售
142,太湖国际社区拾壹峰 ,滨湖区,太湖新城,2室2厅,整租,精装修,18,32层,2800,太湖国际 精装两房 南北通透 交通便利 环境优美 拎包入住
143,江海新村 ,梁溪区,江海,2室1厅,整租,精装修,5,7层,1400,近市中心靠学前东路江海新村 采光无敌 家电齐全 房东急租哦
144,万科新酩悦 ,滨湖区,太湖新城,3室2厅,整租,精装修,2,9层,4000,万科新酩悦  三房两厅  装修简约  温馨
145,魅力万科城二区 ,滨湖区,太湖新城,2室2厅,整租,精装修,6,8层,2200,魅力万科城 近华润万家  家电齐全 随时看房 诚心出租
146,新桥花园 ,梁溪区,黄巷,3室2厅,整租,简单装修,9,15层,2500,新桥花园 办公用房 洗衣做饭都可
147,仙河苑三期东区 ,滨湖区,太湖新城,2室2厅,整租,精装修,17,23层,1400,仙河苑精装两房 自住装修 全天采光 近江南大学 博大假日广场
148,理想城市花园 ,惠山区,惠山新城,2室2厅,整租,精装修,4,18层,2100,理想精装两房 家电齐全 近正大乐城 品质小区 贴心物业 急租
149,魅力万科城一区 ,滨湖区,太湖新城,2室2厅,整租,精装修,11,18层,2800,万科精装两房 自住婚房装修 干净清爽 小区环境好 诚心出租
150,太湖花园东区 ,新吴区,长江路,2室1厅,整租,精装修,1,7层,1600,太湖花园 精装俩房 家电齐全 拎包入住 随时看房 房东人很好
151,前进花园 ,新吴区,长江路,1室1厅,整租,精装修,4,12层,1400,新区 前进花园 精装一室 楼层好 电梯房 价格实惠
152,万科东郡 ,新吴区,长江路,2室2厅,整租,精装修,6,28层,3600,万科东郡，品质小区，两房精装，保养好，拎包即住，房东急租
153,保利香槟国际 ,滨湖区,太湖新城,2室2厅,整租,精装修,4,18层,2500,《U房置业实拍》保利香槟国际精装两房！近万科！万象城！诚租！
154,五星家园C块 ,梁溪区,扬名,2室1厅,整租,中等装修,3,7层,1500,五星家园 靠近人民医院 临近地铁 两房出租
155,长江1号 ,新吴区,旺庄,1室1厅,整租,精装修,6,33层,1400,长江北路 宝龙城市广场 酒店式公寓 拎包入住 随时看房
156,江海新村 ,梁溪区,江海,1室1厅,整租,精装修,3,6层,1200,长江路江海新村交通便利精装现代化装修大两房家电齐全拎包入住哦
157,曹张新村 ,梁溪区,南禅寺,7室0厅,整租,中等装修,3,3层,4200,曹张新村300平独栋出租4200元一个月
158,富城湾 ,梁溪区,黄巷,3室2厅,整租,豪华装修,10,30层,3000,富城湾 豪华三房 设施齐全 拎包入住
159,古运五爱苑A区 ,梁溪区,扬名,2室1厅,整租,精装修,15,33层,2800,古运五爱苑  地铁沿线  靠人民医院近  精装修 拎包入住
160,景鸿苑 ,滨湖区,河埒口,2室1厅,整租,精装修,4,9层,1800,新体附近 景鸿苑 精装两房 设施完善 装修清爽
161,协信阿卡迪亚 ,滨湖区,太湖新城,2室2厅,整租,精装修,12,15层,1900,协信阿卡迪亚、精装修二房能看太湖的、此房在大桥学校对面、急
162,前进花园 ,新吴区,长江路,2室2厅,整租,毛坯,2,6层,1600,精装大两房出租 采光充足 进地铁 前进路 拎包入住
163,蓝光COCO蜜园 ,锡山区,安镇,2室2厅,整租,精装修,23,23层,1600,蓝光天一名校，精装修房拎包入住，南北通透，随时看房
164,锦江苑 ,新吴区,长江路,2室2厅,整租,精装修,6,6层,2400,崇安区 欧尚超市对面 锦江苑 2房精装 急租
165,上里东小区 ,滨湖区,河埒口,1室1厅,整租,中等装修,5,7层,1000,河埒口地铁口旁上里东精装一室一厅 干净清爽 交通便利
166,瑞城花园北区 ,新吴区,江溪,2室2厅,整租,精装修,10,17层,1700,瑞城国际 精装两房急租 家电齐全 采光好 温馨舒适 适合居住
167,落霞苑第三社区 ,滨湖区,太湖新城,2室2厅,整租,精装修,18,32层,1600,落霞苑精装大两房周边配套齐全交通便利地铁南湖家园站随时看
168,太湖国际社区拾壹峰 ,滨湖区,太湖新城,2室2厅,整租,精装修,19,32层,2400,《U房置业实拍》高端小区太湖国际温馨两房首租靠万象城随时看房
169,太湖花园东区 ,新吴区,长江路,1室1厅,合租,精装修,6,7层,800,太湖花园精装一房 家电齐全 拎包入住 只租女生!
170,禾嘉国际 ,梁溪区,北大街,1室1厅,整租,精装修,26,34层,1600,好房分享 禾嘉国际酒店 精品一室 配套齐全 市中心 拎包入住
171,中海凤凰熙岸 ,滨湖区,太湖新城,3室2厅,整租,精装修,34,34层,2800,中海凤凰熙岸 可免交押金可按月支付 精装小三房 随时看房
172,金都花园 ,惠山区,惠山新城,1室1厅,整租,精装修,3,12层,900,900元/月整租！1房金都花园，超值精品，随时看房
173,塔影苑西区 ,梁溪区,上马墩,3室2厅,整租,精装修,3,6层,1400,上马墩地铁口塔影苑大三房周边配套成熟 出门公交地铁出行方便
174,爱家金河湾 ,梁溪区,广丰,2室2厅,整租,精装修,16,33层,2000,紧邻火车站 靠近酒吧街 交通便利 拎包入住 房东急租
175,金海里小区 ,梁溪区,江海,1室1厅,整租,精装修,3,6层,1200,长江路 欧尚旁 金海里 地段繁华 交通便利 干净清爽 急租！
176,沁园新村 ,梁溪区,清名桥,3室2厅,整租,中等装修,6,6层,2500,清扬路上，三房全装设施齐，近人民医院和金城高架，可做员工宿舍
177,欧典家园 ,新吴区,长江路,2室1厅,整租,简单装修,3,7层,1650,新区 哥伦布广场旁 欧尚后 首创悦府对面  领包入住
178,景南苑 ,新吴区,长江路,2室1厅,合租,精装修,3,6层,800,《U房置业实拍》景南苑主卧带阳台 干净清爽 采光佳 拎包入住
179,爱家金河湾 ,梁溪区,广丰,1室1厅,整租,精装修,8,28层,2000,火车站附近 次新小区 爱家金河湾 交通便捷 拎包即住随时看房
180,景鸿苑 ,滨湖区,河埒口,2室1厅,整租,精装修,4,9层,1800,新体附近 景鸿苑 精装两房 设施完善 装修清爽
